版本,Cluster,Cluster总样本数,Cluster男性样本数,Cluster女性样本数,指标,性别亚组,n,均值,中位数,参考下限,参考上限,参考中心,偏离方向,异常比例,p_raw,p_adj,显著性,显著,显著_bool,effect_score,出现Cluster数,版本总Cluster数,Cluster覆盖比例,是否共同异常,median_effect,directional_effect,clinical_severity,同指标最高严重度,同指标第二严重度,是否同指标最突出Cluster,差异化领先幅度,差异化分数,可用于差异化命名
M2_Attn_topk6,1,401,184,217,初始便意阈值(ml),ALL,400,65.75,60.0,57.0,196.0,126.5,低,0.225,1.316285549738018e-67,2.5404311109943745e-65,***,True,True,2.276383399209486,3,3,1.0,True,0.525691699604743,-0.525691699604743,0.750691699604743,0.783691699604743,0.750691699604743,False,0.0,0.7260375494071146,False
M2_Attn_topk6,1,401,184,217,最大容量感觉阈值(ml),ALL,399,165.64,160.0,155.0,309.0,232.0,低,0.514,5.9900881158121785e-50,1.0302951559196946e-47,***,True,True,2.134689655172414,3,3,1.0,True,0.3103448275862069,-0.3103448275862069,0.8243448275862069,0.9394482758620689,0.8243448275862069,False,0.0,0.8365172413793104,False
M2_Attn_topk6,1,401,184,217,肛门括约肌长度(cm),M,184,3.17,3.3,3.4,5.9,4.65,低,0.538,1.422344255323235e-23,1.5788021234087909e-21,***,True,True,2.1186451612903228,3,3,1.0,True,0.29032258064516137,-0.29032258064516137,0.8283225806451614,1.4799139784946236,1.1808709677419356,False,0.0,0.8424838709677421,False
M2_Attn_topk6,2,331,85,245,肛门括约肌长度(cm),M,85,2.03,1.6,3.4,5.9,4.65,低,0.824,2.1154305987886023e-15,1.776961702982426e-13,***,True,True,3.1358279569892473,3,3,1.0,True,0.6559139784946236,-0.6559139784946236,1.4799139784946236,1.4799139784946236,1.1808709677419356,True,0.299043010752688,2.9189139784946234,True
M2_Attn_topk6,2,331,85,245,肛门括约肌长度(cm),F,245,1.8,1.5,2.7,5.1,3.9,低,0.82,6.457893332840592e-41,8.847313865991611e-39,***,True,True,3.0507692307692307,3,3,1.0,True,0.6153846153846154,-0.6153846153846154,1.4353846153846153,1.4353846153846153,1.1585384615384615,True,0.27684615384615374,2.8299230769230763,True
M2_Attn_topk6,2,331,85,245,肛门括约肌静息压(mmHg),M,85,37.25,37.2,59.0,115.0,87.0,低,0.859,1.1687302271761301e-15,1.0284825999149945e-13,***,True,True,3.0038275862068966,3,3,1.0,True,0.5724137931034482,-0.5724137931034482,1.4314137931034483,1.4314137931034483,0.8678850574712644,True,0.5635287356321839,3.1106494252873564,True
M2_Attn_topk6,2,331,85,245,肛门括约肌静息压(mmHg),F,245,37.07,35.4,47.0,101.0,74.0,低,0.706,3.9062518360580237e-41,5.3906275337600726e-39,***,True,True,2.749243243243243,3,3,1.0,True,0.5216216216216216,-0.5216216216216216,1.2276216216216216,1.2276216216216216,0.600054054054054,True,0.6275675675675676,2.869,True
M2_Attn_topk6,2,331,85,245,排便窘迫感阈值(ml),ALL,324,104.59,90.0,93.0,241.0,167.0,低,0.519,7.507427818292204e-49,1.253740445654798e-46,***,True,True,2.4411556886227546,3,3,1.0,True,0.46107784431137727,-0.46107784431137727,0.9800778443113773,0.9800778443113773,0.8751976047904191,True,0.10488023952095826,1.9749970059880244,True
M2_Attn_topk6,2,331,85,245,RAIR诱发最小容积(ml),ALL,331,17.16,10.0,0.0,30.0,30.0,低,0.045,3.208707019747566e-42,4.748886389226398e-40,***,True,True,2.378333333333333,3,3,1.0,True,0.6666666666666666,-0.6666666666666666,0.7116666666666667,0.7336666666666667,0.7246666666666667,False,0.0,0.6674999999999999,False
M3_Mean_topk0,0,334,86,247,肛门括约肌长度(cm),M,86,2.07,1.7,3.4,5.9,4.65,低,0.814,1.478616929742692e-15,1.286396728876142e-13,***,True,True,3.082817204301075,3,3,1.0,True,0.6344086021505376,-0.6344086021505376,1.4484086021505376,1.4484086021505376,1.1848709677419356,True,0.263537634408602,2.8361505376344085,True
M3_Mean_topk0,0,334,86,247,肛门括约肌长度(cm),F,247,1.79,1.5,2.7,5.1,3.9,低,0.822,2.87145349247017e-41,4.020034889458239e-39,***,True,True,3.052769230769231,3,3,1.0,True,0.6153846153846154,-0.6153846153846154,1.4373846153846155,1.4373846153846155,1.1565384615384615,True,0.28084615384615397,2.836923076923077,True
M3_Mean_topk0,0,334,86,247,肛门括约肌静息压(mmHg),M,86,37.98,37.5,59.0,115.0,87.0,低,0.849,7.987270122300702e-16,7.108670408847627e-14,***,True,True,2.9869310344827587,3,3,1.0,True,0.5689655172413793,-0.5689655172413793,1.4179655172413792,1.4179655172413792,0.866609195402299,True,0.5513563218390802,3.0783045977011487,True
M3_Mean_topk0,0,334,86,247,肛门括约肌静息压(mmHg),F,247,37.15,35.4,47.0,101.0,74.0,低,0.709,3.0032905966256967e-41,4.1745739293097185e-39,***,True,True,2.7522432432432433,3,3,1.0,True,0.5216216216216216,-0.5216216216216216,1.2306216216216215,1.2306216216216215,0.5820000000000001,True,0.6486216216216214,2.8945540540540535,True
M3_Mean_topk0,0,334,86,247,排便窘迫感阈值(ml),ALL,327,104.52,90.0,93.0,241.0,167.0,低,0.52,2.275997293320005e-49,3.8464354257108086e-47,***,True,True,2.4421556886227545,3,3,1.0,True,0.46107784431137727,-0.46107784431137727,0.9810778443113772,0.9810778443113772,0.8771976047904191,True,0.10388023952095815,1.9754970059880241,True
M3_Mean_topk0,0,334,86,247,RAIR诱发最小容积(ml),ALL,334,17.31,10.0,0.0,30.0,30.0,低,0.048,3.6004581526401735e-42,5.292673484381055e-40,***,True,True,2.381333333333333,3,3,1.0,True,0.6666666666666666,-0.6666666666666666,0.7146666666666667,0.7316666666666667,0.7236666666666667,False,0.0,0.672,False
M3_Mean_topk0,1,401,185,216,肛门括约肌长度(cm),F,216,2.52,2.3,2.7,5.1,3.9,低,0.597,1.1890086709094246e-27,1.4268104050913095e-25,***,True,True,2.4175128205128207,3,3,1.0,True,0.4102564102564103,-0.4102564102564103,1.0072564102564103,1.4373846153846155,1.1565384615384615,False,0.0,1.1108846153846157,False
M3_Mean_topk0,1,401,185,216,RAIR诱发最小容积(ml),ALL,401,18.15,10.0,0.0,30.0,30.0,低,0.065,2.8459301619531928e-42,4.2404359413102574e-40,***,True,True,2.3983333333333334,3,3,1.0,True,0.6666666666666666,-0.6666666666666666,0.7316666666666667,0.7316666666666667,0.7236666666666667,True,0.008000000000000007,1.5055,True
M3_Mean_topk0,1,401,185,216,排便窘迫感阈值(ml),ALL,399,111.3,100.0,93.0,241.0,167.0,低,0.476,1.7326660771310092e-54,3.205432242692367e-52,***,True,True,2.278395209580838,3,3,1.0,True,0.40119760479041916,-0.40119760479041916,0.8771976047904191,0.9810778443113772,0.8771976047904191,False,0.0,0.9157964071856285,False
M3_Mean_topk0,1,401,185,216,初始便意阈值(ml),ALL,400,65.65,60.0,57.0,196.0,126.5,低,0.225,1.1123479100443072e-67,2.157954945485956e-65,***,True,True,2.276383399209486,3,3,1.0,True,0.525691699604743,-0.525691699604743,0.750691699604743,0.783691699604743,0.755691699604743,False,0.0,0.7260375494071146,False
M3_Mean_topk0,1,401,185,216,最大容量感觉阈值(ml),ALL,399,165.24,150.0,155.0,309.0,232.0,低,0.519,3.360291174307061e-50,5.846906643294284e-48,***,True,True,2.225896551724138,3,3,1.0,True,0.35344827586206895,-0.35344827586206895,0.872448275862069,0.9404482758620689,0.872448275862069,False,0.0,0.9086724137931034,False
M3_Mean_topk0,1,401,185,216,肛门括约肌长度(cm),M,185,3.16,3.2,3.4,5.9,4.65,低,0.546,8.157992232503249e-24,9.21853122272867e-22,***,True,True,2.1696559139784948,3,3,1.0,True,0.3118279569892473,-0.3118279569892473,0.8578279569892473,1.4484086021505376,1.1848709677419356,False,0.0,0.8867419354838709,False
