版本,Cluster,Cluster总样本数,Cluster男性样本数,Cluster女性样本数,指标,性别亚组,n,均值,中位数,参考下限,参考上限,参考中心,偏离方向,异常比例,p_raw,p_adj,显著性,显著
M3_Mean_topk0,2,331,144,187,排便窘迫感阈值(ml),ALL,330,112.33,100.0,93.0,241.0,167.0,低,0.412,2.985697083863977e-46,4.836829275859642e-44,***,True
M4_旧Attn_topk4,0,309,139,170,肛门括约肌静息压(mmHg),M,139,60.75,59.2,59.0,115.0,87.0,低,0.504,3.504028546186115e-21,3.5040285461861147e-19,***,True
M4_旧Attn_topk4,0,309,139,170,肛门括约肌静息压(mmHg),F,170,59.21,57.3,47.0,101.0,74.0,低,0.294,5.165569241081285e-16,4.700668009383969e-14,***,True
M4_旧Attn_topk4,0,309,139,170,最大缩榨压MSP（mmHg）,M,139,132.2,120.4,91.0,170.0,130.5,低,0.403,0.3194798840649734,1.0,ns,False
M4_旧Attn_topk4,0,309,139,170,最大缩榨压MSP（mmHg）,F,170,97.87,94.5,61.0,140.0,100.5,低,0.235,0.0679735787542324,0.6194692610450971,ns,False
M4_旧Attn_topk4,0,309,139,170,最大容量感觉阈值(ml),ALL,303,165.18,160.0,155.0,309.0,232.0,低,0.485,1.2817148246279001e-41,1.8328521992178974e-39,***,True
M4_旧Attn_topk4,0,309,139,170,肛门括约肌长度(cm),M,139,2.65,2.6,3.4,5.9,4.65,低,0.676,7.19345327491711e-23,7.696995004161308e-21,***,True
M4_旧Attn_topk4,0,309,139,170,肛门括约肌长度(cm),F,170,2.32,2.1,2.7,5.1,3.9,低,0.682,3.600152492612856e-27,4.284181466209299e-25,***,True
M4_旧Attn_topk4,0,309,139,170,缩肛持续时间(s),ALL,309,12.85,13.3,12.2,14.4,13.3,等于参考中心,0.508,0.006132942864589923,0.11039297156261861,ns,False
M4_旧Attn_topk4,0,309,139,170,排便时直肠压力(mmHg),ALL,309,47.03,43.6,45.0,inf,45.0,低,0.531,0.828671254630027,1.0,ns,False
M4_旧Attn_topk4,0,309,139,170,RAIR诱发最小容积(ml),ALL,309,17.49,10.0,0.0,30.0,30.0,低,0.058,8.031106545533475e-37,1.0360127443738184e-34,***,True
M4_旧Attn_topk4,0,309,139,170,初始感觉阈值(ml),ALL,306,35.13,30.0,0.0,30.0,30.0,等于参考中心,0.327,5.8806003024806665e-09,3.940002202662047e-07,***,True
M4_旧Attn_topk4,0,309,139,170,初始便意阈值(ml),ALL,308,67.63,60.0,57.0,196.0,126.5,低,0.253,1.3949032147668167e-51,2.4968767544326018e-49,***,True
M4_旧Attn_topk4,0,309,139,170,排便窘迫感阈值(ml),ALL,308,112.87,100.0,93.0,241.0,167.0,低,0.393,8.10677096254118e-44,1.2727630411189653e-41,***,True
M4_旧Attn_topk4,1,326,84,241,肛门括约肌静息压(mmHg),M,84,37.79,37.5,59.0,115.0,87.0,低,0.857,1.7102447816903898e-15,1.4708105122537353e-13,***,True
M4_旧Attn_topk4,1,326,84,241,肛门括约肌静息压(mmHg),F,241,36.82,35.2,47.0,101.0,74.0,低,0.718,2.6685281798267745e-40,3.5758277609678777e-38,***,True
M4_旧Attn_topk4,1,326,84,241,最大缩榨压MSP（mmHg）,M,84,91.46,85.15,91.0,170.0,130.5,低,0.643,2.416340342427043e-08,1.5464578191533076e-06,***,True
M4_旧Attn_topk4,1,326,84,241,最大缩榨压MSP（mmHg）,F,241,73.24,70.3,61.0,140.0,100.5,低,0.427,3.3201009681092023e-23,3.618910055239031e-21,***,True
M4_旧Attn_topk4,1,326,84,241,最大容量感觉阈值(ml),ALL,319,151.61,150.0,155.0,309.0,232.0,低,0.589,3.2872758322713716e-49,5.522623398215905e-47,***,True
M4_旧Attn_topk4,1,326,84,241,肛门括约肌长度(cm),M,84,2.08,1.7,3.4,5.9,4.65,低,0.81,3.2786408781081907e-15,2.6556991112676346e-13,***,True
M4_旧Attn_topk4,1,326,84,241,肛门括约肌长度(cm),F,241,1.79,1.5,2.7,5.1,3.9,低,0.817,3.008235539682977e-40,4.0009532677783594e-38,***,True
M4_旧Attn_topk4,1,326,84,241,缩肛持续时间(s),ALL,326,12.44,12.75,12.2,14.4,13.3,低,0.61,1.9646875076689236e-10,1.3949281304449358e-08,***,True
M4_旧Attn_topk4,1,326,84,241,排便时直肠压力(mmHg),ALL,326,42.05,36.95,45.0,inf,45.0,低,0.663,2.3447758208359787e-06,0.00010785968775845502,***,True
M4_旧Attn_topk4,1,326,84,241,RAIR诱发最小容积(ml),ALL,326,17.18,10.0,0.0,30.0,30.0,低,0.049,1.5421265430602676e-41,2.18981969114558e-39,***,True
M4_旧Attn_topk4,1,326,84,241,初始感觉阈值(ml),ALL,318,33.36,30.0,0.0,30.0,30.0,等于参考中心,0.236,8.335736212459113e-07,4.1678681062295566e-05,***,True
M4_旧Attn_topk4,1,326,84,241,初始便意阈值(ml),ALL,318,64.56,60.0,57.0,196.0,126.5,低,0.226,2.539167400740294e-54,4.672068017362141e-52,***,True
M4_旧Attn_topk4,1,326,84,241,排便窘迫感阈值(ml),ALL,319,104.85,90.0,93.0,241.0,167.0,低,0.514,5.866587149538538e-48,9.679868796738588e-46,***,True
M4_旧Attn_topk4,2,350,157,193,肛门括约肌静息压(mmHg),M,157,71.86,72.9,59.0,115.0,87.0,低,0.287,3.1241853764718954e-13,2.4056227398833593e-11,***,True
M4_旧Attn_topk4,2,350,157,193,肛门括约肌静息压(mmHg),F,193,69.75,69.0,47.0,101.0,74.0,低,0.187,0.0019371679427768193,0.046492030626643664,*,True
M4_旧Attn_topk4,2,350,157,193,最大缩榨压MSP（mmHg）,M,157,145.9,139.2,91.0,170.0,130.5,高,0.376,0.0025396654692912296,0.05454833622572892,ns,False
M4_旧Attn_topk4,2,350,157,193,最大缩榨压MSP（mmHg）,F,193,111.99,106.7,61.0,140.0,100.5,高,0.207,7.582930851103766e-05,0.0025781964893752804,**,True
M4_旧Attn_topk4,2,350,157,193,最大容量感觉阈值(ml),ALL,348,165.27,150.0,155.0,309.0,232.0,低,0.523,1.2886531966880954e-43,2.010298986833429e-41,***,True
M4_旧Attn_topk4,2,350,157,193,肛门括约肌长度(cm),M,157,3.12,3.2,3.4,5.9,4.65,低,0.561,2.823358642173366e-20,2.7386578829081652e-18,***,True
M4_旧Attn_topk4,2,350,157,193,肛门括约肌长度(cm),F,193,2.5,2.3,2.7,5.1,3.9,低,0.606,3.069871312164122e-25,3.5917494352320226e-23,***,True
